57,Submission of Monthly Report on Different Activities and Achievements.,researchfile/Monthly Report.pdf
52,"Deficiency of Documents in Post-Matric Scholarship in ST Category. ",researchfile/Document.pdf
51,Extension of Winter Vacations of Nursing College Kashtwar,researchfile/Winter Vaccations.pdf
49,Information Required for assessment of Income Tax for Financial Year 2018-19,researchfile/finance.pdf
47,Circular Regarding Career Advancement Scheme,researchfile/CAScircular.pdf
33,"Implementation of Reservation Policies of the Government in Universities ",researchfile/reservation.pdf
31,Information for the students who have completed their course in the university and apply for NoC,researchfile/Cover Letter.pdf
30,Revised NoC Format for students who have completed their course in the University,researchfile/Revised NoC.pdf
27,Leave Rules for Employees of BGSBU,researchfile/Leave Rules.pdf
24,Modifications in committees to facilitate smooth conduct of 2nd Convocation.,researchfile/New Doc 2018-12-10 15.59.36_1.pdf
23,All Controlling Officers may submit the monthly attendance report in respect of the staff working in their respective departments/colleges/schools.,researchfile/Attendance format.pdf
21,Grievance Redressal Desk  Concerning Maintenance and Repair Under Estates Section for Redressal in Time Bound Manner.,researchfile/M&RDesk.pdf
19,Submission of Online Scholarship Applications Under Post-Matric Scholarship Scheme,researchfile/Submission of Online Scholarship Applications.pdf
18,Request for furnishing of Information/data under survey of India Today-MDRA Best Universities Ranking-2019 (Revised).,researchfile/India Today Letter.pdf
17,All heads of Departments are required to facilitate the process of obtaining NoC in respect of students of respective departments.,researchfile/Circular.pdf
15,"Request for furnishing of Information/data under survey of India Today-MDRA Best 
Universities Ranking-2019",researchfile/Letter to Departments.pdf
14,Notification Regarding NAD,researchfile/NAD Meeting Notice.pdf
13,In Continuation to Previous Notification Regarding Convocation-2018.,researchfile/New Doc 2018.pdf
12,Circular Regarding Deputation Request of Employees of BGSBU,researchfile/Circular new.pdf
11,"Information Related to Deposition of Admission/Tuition Fee of 1st, 3rd, 5th, and 7th Semester For The Year-2018.",researchfile/Regarding of Fee Information.pdf
8,Committees to facilitate smooth conduct of 2nd Convocation.,researchfile/Notification Convocation 2018.pdf
7,Circular Regarding Constitution of Steering Committee for Analysis and Compiling of Data pertaining to NAAC.,researchfile/Circular Regarding Analysis and Compiling of Data pertaining to NAAC.pdf
