5006,file/ 5006.pdf,[27-06-2025] Merit list for admission to  M. Sc. EVS,.pdf," 5006.pdf"
5005,file/ 5005.pdf,[27-06-2025] Merit list for admission to B. Sc. EVS,.pdf," 5005.pdf"
5004,file/ 5004.pdf,[27-06-2025] Merit List for admission to M.Sc. Microbiology-2025,.pdf," 5004.pdf"
5003,file/ 5003.pdf,[27-06-2025] Merit List of Students for Admission to FYUP BA (Honors) Political Science and International  Relations 2025-26,.pdf," 5003.pdf"
5001,file/ 5001.pdf,[26-06-2025] Merit list of MA Economics-2025,.pdf," 5001.pdf"
4997,file/ 4997.pdf,[26-06-2025] Merit List B A Sociology for upload,.pdf," 4997.pdf"
4996,file/ 4996.pdf,[26-06-2025] Merit List BA honours Economics.,.pdf," 4996.pdf"
4995,file/ 4995.pdf,[26-06-2025] Provisional Eligibility List/Counselling Notice of Candidates for Admission to BSc Biotechnology (Hons.) Programme- 2025,.pdf," 4995.pdf"
4994,file/ 4994.pdf,[26-06-2025] Counseling for Admission to B.Sc. Data Science & Artificial Intelligence,.pdf," 4994.pdf"
4993,file/ 4993.pdf,[26-06-2025] Provisional Category-wise Selection list of Candidates for Admission to  the BCA(Hons.)Programme- 2025,.pdf," 4993.pdf"
4992,file/ 4992.pdf,[26-06-2025] Provisional Selection list of Candidates for Admission to  the MCA Programme- 2025,.pdf," 4992.pdf"
4991,file/ 4991.pdf,[26-06-2025] Merit List for admission to B.Sc. (Hons) Zoology-2025,.pdf," 4991.pdf"
4990,file/ 4990.pdf,[26-06-2025] Merit list for admission to M.Sc. Zoology – 2025,.pdf," 4990.pdf"
3992,file/ 3992.pdf,"[11-06-2025] B.Sc Nursing self financing admissions 2025 ",.pdf," 3992.pdf"
3989,file/ 3989.pdf,"[04-06-2025] CUET PG 2025 admission notification ",.pdf," 3989.pdf"
3988,file/ 3988.pdf,[02-06-2025] Notification regarding Summer Vacation,.pdf," 3988.pdf"
3987,file/ 3987.pdf,[02-06-2025] Academic Calendar for Academic Session 2025-2026,.pdf," 3987.pdf"
3985,file/ 3985.pdf,"[27-05-2025] ""Revised notice for PhD Viva Voce of Ms. Haadiya Chishti""",.pdf," 3985.pdf"
3984,file/ 3984.pdf,[26-05-2025] Notifications of Semester Wise fee of B.Sc. Nursing for the batch 2025-2029,.pdf," 3984.pdf"
3982,file/ 3982.pdf,[22-05-2025] No. of Seats earnmarked of B. Sc. Nursing,.pdf," 3982.pdf"
3981,file/ 3981.pdf,[20-05-2025] Ph.D. presentation/viva-voce of Ms. Najmu Nissa,.pdf," 3981.pdf"
3979,file/ 3979.pdf,"[17-05-2025] BGSBU Admission Notification No. BGSBU/AC/2025/06 ",.pdf," 3979.pdf"
3978,file/ 3978.pdf,[16-05-2025] Notice regarding conduct of Summer Training Viva-voce (MBA-III & BBA-V),.pdf," 3978.pdf"
3976,file/ 3976.pdf,[09-05-2025] Open viva-voce of Ms. Haadiya Chishti,.pdf," 3976.pdf"
3975,file/ 3975.pdf,[09-05-2025] Postponement of University examinations,.pdf," 3975.pdf"
3974,file/ 3974.pdf,[05-05-2025] Ph.D. presentation/viva-voce of Ms. Najmu Nissa,.pdf," 3974.pdf"
3973,file/ 3973.pdf,"[30-04-2025] Ph.D Result Notification of Ms.Rubia Gazala, Department of Education",.pdf," 3973.pdf"
3972,file/ 3972.pdf,"[29-04-2025] Ph.D Viva-voce of Ms. Yasmeen Mughal, Dept. of English",.pdf," 3972.pdf"
3969,file/ 3969.pdf,[16-04-2025] PhD notification of Aquib Majeed,.pdf," 3969.pdf"
3968,file/ 3968.pdf,[16-04-2025] Regarding Ph.D VIVA VOC Notification of Jacy Ahkter,.pdf," 3968.pdf"
3966,file/ 3966.pdf,[11-04-2025] National Conference on Mountain Landscapes in the Anthropocene: Managing Biodiversity for Sustainable Future,.pdf," 3966.pdf"
3965,file/ 3965.pdf,"[10-04-2025] Ph.D viva Notice of Ms. Rubia Gazala, Department of Education on 18-04-2025",.pdf," 3965.pdf"
3962,file/ 3962.pdf,"[08-04-2025] Ph.D Viva Voce of Ms. Shallu Kotwal, research scholar of Department of Information Technology,",.pdf," 3962.pdf"
3961,file/ 3961.pdf,[04-04-2025] Advanced Research Methods and Time-Series Analysis,.pdf," 3961.pdf"
3960,file/ 3960.pdf,[03-04-2025] Ph.D. Viva Voce Notice of Ms. Nighat Yousuf,.pdf," 3960.pdf"
3959,file/ 3959.pdf,[03-04-2025] Ph.D. Viva Voce Notification of Mr Aabid Suhail,.pdf," 3959.pdf"
3958,file/ 3958.pdf,"[20-03-2025] Readvertisement notice for the engagement of Junior Research Assistant for the project entitled ""Soil Erosion Assessment on Hill Slope of Jammu Srinagar National Highway using RUSLE Model""",.pdf," 3958.pdf"
3957,file/ 3957.pdf,[20-03-2025] PhD Viva Notice of Mr Mudasir Ahmed,.pdf," 3957.pdf"
